Source,Target,Weight,Type
cb_jauche_1975,cb_quints_1985,6,undirected
cb_jauche_1975,cw_kindheitsmuster_1976,4,undirected
cb_jauche_1975,gg_blechtrommel_1959,4,undirected
cb_jauche_1975,gg_raettin_1986,1,undirected
cb_jauche_1975,gg_schnecke_1972,1,undirected
cb_quints_1985,cb_jauche_1975,6,undirected
cb_quints_1985,cw_kindheitsmuster_1976,5,undirected
cb_quints_1985,hb_gruppenbild_1971,4,undirected
cb_tessin_1960,cw_medea_1996,1,undirected
cb_tessin_1960,cw_nachdenken_1968,1,undirected
cb_tessin_1960,hb_clown_1963,6,undirected
cb_tessin_1960,hb_frauen_1975,4,undirected
cw_kindheitsmuster_1976,cb_jauche_1975,4,undirected
cw_kindheitsmuster_1976,cb_quints_1985,5,undirected
cw_kindheitsmuster_1976,cw_medea_1996,4,undirected
cw_medea_1996,cb_tessin_1960,1,undirected
cw_medea_1996,cw_kindheitsmuster_1976,4,undirected
cw_medea_1996,cw_nachdenken_1968,5,undirected
cw_medea_1996,hb_clown_1963,3,undirected
cw_nachdenken_1968,cb_tessin_1960,1,undirected
cw_nachdenken_1968,cw_medea_1996,5,undirected
cw_nachdenken_1968,hb_frauen_1975,2,undirected
gg_blechtrommel_1959,cb_jauche_1975,4,undirected
gg_blechtrommel_1959,gg_raettin_1986,2,undirected
gg_blechtrommel_1959,gg_schnecke_1972,4,undirected
gg_blechtrommel_1959,wk_heilewelt_1998,1,undirected
gg_raettin_1986,cb_jauche_1975,1,undirected
gg_raettin_1986,gg_blechtrommel_1959,2,undirected
gg_raettin_1986,gg_schnecke_1972,6,undirected
gg_schnecke_1972,cb_jauche_1975,1,undirected
gg_schnecke_1972,gg_blechtrommel_1959,4,undirected
gg_schnecke_1972,gg_raettin_1986,6,undirected
hb_clown_1963,cb_tessin_1960,6,undirected
hb_clown_1963,cw_medea_1996,3,undirected
hb_clown_1963,hb_frauen_1975,1,undirected
hb_clown_1963,hb_gruppenbild_1971,2,undirected
hb_frauen_1975,cb_tessin_1960,4,undirected
hb_frauen_1975,cw_nachdenken_1968,2,undirected
hb_frauen_1975,hb_clown_1963,1,undirected
hb_frauen_1975,hb_gruppenbild_1971,5,undirected
hb_gruppenbild_1971,cb_quints_1985,4,undirected
hb_gruppenbild_1971,hb_clown_1963,2,undirected
hb_gruppenbild_1971,hb_frauen_1975,5,undirected
wk_aussicht_1981,wk_heilewelt_1998,2,undirected
wk_aussicht_1981,wk_umsonst_2006,1,undirected
wk_aussicht_1981,wk_zeit_1978,6,undirected
wk_gold_1972,wk_kapitel_1975,5,undirected
wk_gold_1972,wk_tadel_1971,6,undirected
wk_gold_1972,wk_willkommen_1984,1,undirected
wk_gruesse_2003,wk_heilewelt_1998,5,undirected
wk_gruesse_2003,wk_hundstage_1988,2,undirected
wk_gruesse_2003,wk_markbein_1991,4,undirected
wk_gruesse_2003,wk_umsonst_2006,2,undirected
wk_heilewelt_1998,gg_blechtrommel_1959,1,undirected
wk_heilewelt_1998,wk_aussicht_1981,2,undirected
wk_heilewelt_1998,wk_gruesse_2003,5,undirected
wk_heilewelt_1998,wk_hundstage_1988,3,undirected
wk_heilewelt_1998,wk_markbein_1991,1,undirected
wk_heilewelt_1998,wk_umsonst_2006,6,undirected
wk_heilewelt_1998,wk_willkommen_1984,3,undirected
wk_hundstage_1988,wk_gruesse_2003,2,undirected
wk_hundstage_1988,wk_heilewelt_1998,3,undirected
wk_hundstage_1988,wk_markbein_1991,6,undirected
wk_hundstage_1988,wk_willkommen_1984,1,undirected
wk_kapitel_1975,wk_gold_1972,5,undirected
wk_kapitel_1975,wk_tadel_1971,4,undirected
wk_kapitel_1975,wk_willkommen_1984,3,undirected
wk_kapitel_1975,wk_zeit_1978,1,undirected
wk_markbein_1991,wk_gruesse_2003,4,undirected
wk_markbein_1991,wk_heilewelt_1998,1,undirected
wk_markbein_1991,wk_hundstage_1988,6,undirected
wk_markbein_1991,wk_umsonst_2006,1,undirected
wk_tadel_1971,wk_gold_1972,6,undirected
wk_tadel_1971,wk_kapitel_1975,4,undirected
wk_tadel_1971,wk_willkommen_1984,1,undirected
wk_umsonst_2006,wk_aussicht_1981,1,undirected
wk_umsonst_2006,wk_gruesse_2003,2,undirected
wk_umsonst_2006,wk_heilewelt_1998,6,undirected
wk_umsonst_2006,wk_markbein_1991,1,undirected
wk_willkommen_1984,wk_gold_1972,1,undirected
wk_willkommen_1984,wk_heilewelt_1998,3,undirected
wk_willkommen_1984,wk_hundstage_1988,1,undirected
wk_willkommen_1984,wk_kapitel_1975,3,undirected
wk_willkommen_1984,wk_tadel_1971,1,undirected
wk_willkommen_1984,wk_zeit_1978,2,undirected
wk_zeit_1978,wk_aussicht_1981,6,undirected
wk_zeit_1978,wk_kapitel_1975,1,undirected
wk_zeit_1978,wk_willkommen_1984,2,undirected
