Source,Target,Weight,Type
alles-umsonst_2006,hundstage_1988,1,undirected
alles-umsonst_2006,letzte-grüße_2003,4,undirected
alles-umsonst_2006,tadellöser-wolff_1971,2,undirected
aus-großer-zeit_1978,heile-welt_1998,1,undirected
aus-großer-zeit_1978,herzlich-willkommen_1984,4,undirected
aus-großer-zeit_1978,schöne-aussicht_1981,6,undirected
ein-kapitel-für-sich_1975,hundstage_1988,1,undirected
ein-kapitel-für-sich_1975,tadellöser-wolff_1971,5,undirected
ein-kapitel-für-sich_1975,uns-gehts-ja-noch-gold_1972,5,undirected
heile-welt_1998,aus-großer-zeit_1978,1,undirected
heile-welt_1998,herzlich-willkommen_1984,4,undirected
heile-welt_1998,hundstage_1988,3,undirected
heile-welt_1998,letzte-grüße_2003,6,undirected
herzlich-willkommen_1984,aus-großer-zeit_1978,4,undirected
herzlich-willkommen_1984,heile-welt_1998,4,undirected
herzlich-willkommen_1984,schöne-aussicht_1981,1,undirected
hundstage_1988,alles-umsonst_2006,1,undirected
hundstage_1988,ein-kapitel-für-sich_1975,1,undirected
hundstage_1988,heile-welt_1998,3,undirected
hundstage_1988,letzte-grüße_2003,5,undirected
hundstage_1988,mark-und-bein_1991,5,undirected
hundstage_1988,schöne-aussicht_1981,1,undirected
hundstage_1988,tadellöser-wolff_1971,3,undirected
letzte-grüße_2003,alles-umsonst_2006,4,undirected
letzte-grüße_2003,heile-welt_1998,6,undirected
letzte-grüße_2003,hundstage_1988,5,undirected
letzte-grüße_2003,mark-und-bein_1991,2,undirected
mark-und-bein_1991,hundstage_1988,5,undirected
mark-und-bein_1991,letzte-grüße_2003,2,undirected
mark-und-bein_1991,tadellöser-wolff_1971,1,undirected
schöne-aussicht_1981,aus-großer-zeit_1978,6,undirected
schöne-aussicht_1981,herzlich-willkommen_1984,1,undirected
schöne-aussicht_1981,hundstage_1988,1,undirected
schöne-aussicht_1981,tadellöser-wolff_1971,3,undirected
schöne-aussicht_1981,uns-gehts-ja-noch-gold_1972,1,undirected
tadellöser-wolff_1971,alles-umsonst_2006,2,undirected
tadellöser-wolff_1971,ein-kapitel-für-sich_1975,5,undirected
tadellöser-wolff_1971,hundstage_1988,3,undirected
tadellöser-wolff_1971,mark-und-bein_1991,1,undirected
tadellöser-wolff_1971,schöne-aussicht_1981,3,undirected
tadellöser-wolff_1971,uns-gehts-ja-noch-gold_1972,2,undirected
uns-gehts-ja-noch-gold_1972,ein-kapitel-für-sich_1975,5,undirected
uns-gehts-ja-noch-gold_1972,schöne-aussicht_1981,1,undirected
uns-gehts-ja-noch-gold_1972,tadellöser-wolff_1971,2,undirected
